User ID,Course Name,Minutes Consumed
1,Certification Course - Certified Administrator,32
1,Certified Application Developer,20
18,Automation Certification Preparation Course,6
18,Red Hat Certified System Administrator(RHCSA),4
27,AZ-104: Microsoft Azure Administrator,2
27,Amazon Elastic Container Service (AWS ECS),2
27,Certification Course - Certified Administrator,26
27,Certified Application Developer,2
27,Certified Kubernetes Security Specialist (CKS),8
27,DevSecOps - Kubernetes DevOps & Security,16
27,Golang,2
97,Certification Course - Certified Administrator,366
97,JSON Path Test - Free Course,36
106,Certification Course - Certified Administrator,62
106,Golang,20
151,Certification Course - Certified Administrator,16
151,Certified Kubernetes Security Specialist (CKS),26
151,Kustomize,46
157,Certified Application Developer,42
158,Certification Course - Certified Administrator,4
158,DevOps Pre-Requisite Course,18
209,Certified Kubernetes Security Specialist (CKS),266
209,HashiCorp Certified: Consul Associate Certification,6
209,HashiCorp Certified: Vault Associate Certification,32
247,DevSecOps - Kubernetes DevOps & Security,4
251,Certified Kubernetes Security Specialist (CKS),40
262,Learning Linux Basics Course & Labs,10
262,Train the Trainer,8
304,Learn Automation Basics - Beginners Course,48
320,Certification Course - Certified Administrator,284
332,Certification Course - Certified Administrator,4
332,Docker Training Course for the Absolute Beginner,76
361,Linux Foundation Certified System Administrator (LFCS),10
1525,Certified Kubernetes Security Specialist (CKS),8
1567,Certified Application Developer,10
1576,Terraform Basics Training Course,52
1604,Learning Linux Basics Course & Labs,54
1609,DevOps Interview Preparation Course,8
1609,DevOps Pre-Requisite Course,12
1609,Kubernetes for the Absolute Beginners - Hands-on Tutorial,128
1609,Linux Foundation Certified System Administrator (LFCS),118
1609,Red Hat Certified System Administrator(RHCSA),10
1609,Terraform Basics Training Course,62
1618,Udemy Labs - Certified Kubernetes Application Developer,4
1640,Docker Certified Associate Exam Course,154
1640,Jenkins,12
1657,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,14
1657,GIT for Beginners,28
1658,Certified Kubernetes Security Specialist (CKS),198
1658,DevSecOps - Kubernetes DevOps & Security,638
1699,DevOps Pre-Requisite Course,218
1729,Amazon Elastic Container Service (AWS ECS),48
1748,Certification Course - Certified Administrator,166
1751,Certified Kubernetes Security Specialist (CKS),26
1813,Docker - SWARM | SERVICES | STACKS - Hands-on,40
1816,Terraform Basics Training Course,86
1846,Certification Course - Certified Administrator,14
1862,Red Hat Certified System Administrator(RHCSA),12
1864,Certification Course - Certified Administrator,114
1864,Golang,136
1864,Red Hat Certified System Administrator(RHCSA),4
1886,Certified Application Developer,4
1886,Kubernetes for the Absolute Beginners - Hands-on Tutorial,104
1892,Amazon Elastic Container Service (AWS ECS),20
1894,DevOps Interview Preparation Course,8
1894,Shell Scripts for Beginners,4
1904,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,6
1904,Jenkins,4
1904,Learning Linux Basics Course & Labs,90
1922,Certification Course - Certified Administrator,8
1922,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,40
1922,DevOps Interview Preparation Course,22
1922,Istio Service Mesh,56
1922,Kubernetes for the Absolute Beginners - Hands-on Tutorial,58
1922,Learn Automation Basics - Beginners Course,52
1924,Certified Kubernetes Security Specialist (CKS),2
1928,Terraform Associate Certification: HashiCorp Certified,2
1942,Kustomize,2
1946,Certified Kubernetes Security Specialist (CKS),328
1946,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,42
1946,DevOps Interview Preparation Course,18
1946,DevOps Pre-Requisite Course,52
1946,DevSecOps - Kubernetes DevOps & Security,12
1946,GIT for Beginners,42
1946,Helm for Beginners,96
1946,Istio Service Mesh,140
1946,Jenkins,96
1946,Kustomize,90
1946,Lens - Kubernetes IDE,6
1951,AZ-104: Microsoft Azure Administrator,6
1951,Red Hat Certified System Administrator(RHCSA),24
1993,AZ-104: Microsoft Azure Administrator,214
1993,Learning Linux Basics Course & Labs,14
2036,Golang,2
2048,Linux Foundation Certified System Administrator (LFCS),234
2059,Certification Course - Certified Administrator,150
2059,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,6
2068,Terraform Basics Training Course,62
2077,Docker - SWARM | SERVICES | STACKS - Hands-on,270
2077,Docker Training Course for the Absolute Beginner,10
2078,HashiCorp Certified: Vault Associate Certification,28
2084,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,20
2095,Docker Training Course for the Absolute Beginner,2
2095,Learning Linux Basics Course & Labs,56
2197,Kubernetes for the Absolute Beginners - Hands-on Tutorial,16
2200,DevOps Interview Preparation Course,22
2200,Learning Linux Basics Course & Labs,4
2215,DevOps Interview Preparation Course,6
2215,Kubernetes for the Absolute Beginners - Hands-on Tutorial,382
2222,Certified Kubernetes Security Specialist (CKS),4
2222,DevOps Interview Preparation Course,2
2225,Red Hat Certified System Administrator(RHCSA),34
2251,DevSecOps - Kubernetes DevOps & Security,10
2255,DevOps Interview Preparation Course,8
2255,Jenkins,8
2264,Automation Certification Preparation Course,30
2264,Terraform Basics Training Course,134
2293,DevOps Pre-Requisite Course,40
2293,GIT for Beginners,24
2347,Automation Advanced Course,4
2383,PCAP - Python Certification Course,2
2383,Terraform Associate Certification: HashiCorp Certified,12
2404,DevOps Pre-Requisite Course,46
2404,Kubernetes for the Absolute Beginners - Hands-on Tutorial,24
2404,Learning Linux Basics Course & Labs,150
2426,DevOps Interview Preparation Course,8
2429,PCAP - Python Certification Course,2
2432,AZ-104: Microsoft Azure Administrator,16
2432,Terraform Basics Training Course,54
2438,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,6
2465,Terraform Associate Certification: HashiCorp Certified,32
2507,DevOps Interview Preparation Course,2
2507,Jenkins,2
2507,Linux Foundation Certified System Administrator (LFCS),6
2533,Helm for Beginners,26
2560,Certified Application Developer,184
2596,Amazon Elastic Container Service (AWS ECS),48
2603,Learning Linux Basics Course & Labs,2
2611,Certified Application Developer,28
2627,Red Hat Certified System Administrator(RHCSA),68
2639,Certification Course - Certified Administrator,8
2660,DevOps Pre-Requisite Course,14
2675,DevOps Pre-Requisite Course,32
2680,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,6
2680,PCAP - Python Certification Course,98
2684,AZ-104: Microsoft Azure Administrator,2
2698,DevOps Pre-Requisite Course,24
2698,GIT for Beginners,22
2698,Learn Devops - AWS Cloud for Beginners,18
2698,Shell Scripts for Beginners,32
2716,Automation Advanced Course,110
2716,DevOps Interview Preparation Course,262
2716,Jenkins,108
2716,Terraform Associate Certification: HashiCorp Certified,42
2744,DevOps Pre-Requisite Course,306
2744,Linux Foundation Certified System Administrator (LFCS),710
2744,Shell Scripts for Beginners,28
2753,Certified Kubernetes Security Specialist (CKS),84
2776,Certified Application Developer,22
2776,Docker Training Course for the Absolute Beginner,2
2794,Istio Service Mesh,44
2797,Certified Kubernetes Security Specialist (CKS),4
2825,Docker Certified Associate Exam Course,20
2825,Terraform Basics Training Course,30
2833,AZ-104: Microsoft Azure Administrator,16
2833,Certified Application Developer,300
2840,Learn Automation Basics - Beginners Course,2
2849,Terraform Associate Certification: HashiCorp Certified,30
2851,Golang,16
2860,DevOps Pre-Requisite Course,8
2870,Docker Training Course for the Absolute Beginner,74
2870,Linux Foundation Certified System Administrator (LFCS),14
2914,Certification Course - Certified Administrator,12
2914,Certified Application Developer,16
2936,Certification Course - Certified Administrator,16
2936,Kubernetes for the Absolute Beginners - Hands-on Tutorial,262
2948,Certification Course - Certified Administrator,46
3005,Automation Advanced Course,10
3005,Certified Application Developer,186
3005,DevOps Pre-Requisite Course,274
3005,Docker Certified Associate Exam Course,62
3005,Docker Training Course for the Absolute Beginner,198
3005,JSON Path Test - Free Course,26
3005,Jenkins,118
3005,Learn Automation Basics - Beginners Course,62
3005,Shell Scripts for Beginners,60
3005,Terraform Basics Training Course,56
3022,Red Hat Certified System Administrator(RHCSA),22
3028,Certified Kubernetes Security Specialist (CKS),106
3028,Kubernetes for the Absolute Beginners - Hands-on Tutorial,34
3029,Jenkins,4
3029,Terraform Basics Training Course,58
3043,Helm for Beginners,30
3043,Istio Service Mesh,92
3043,Kustomize,32
3043,Terraform Associate Certification: HashiCorp Certified,20
3088,AZ-104: Microsoft Azure Administrator,8
3097,DevOps Interview Preparation Course,2
3097,DevSecOps - Kubernetes DevOps & Security,262
3097,Learn Automation Basics - Beginners Course,24
3097,Learn Devops - AWS Cloud for Beginners,28
3107,AZ-104: Microsoft Azure Administrator,32
3107,Golang,146
3107,Kustomize,2
3110,DevOps Pre-Requisite Course,18
3110,Learning Linux Basics Course & Labs,14
3110,Terraform Basics Training Course,64
3116,Amazon Elastic Container Service (AWS ECS),4
3157,Certification Course - Certified Administrator,6
3157,Kustomize,56
3157,Train the Trainer,8
3166,Docker Certified Associate Exam Course,12
3166,Helm for Beginners,50
3166,Kustomize,56
3166,Terraform Associate Certification: HashiCorp Certified,52
4141,Certified Python Entry-Level Programmer - PCEP Certification Prep Course,2
4168,AZ-104: Microsoft Azure Administrator,8
4213,Learn Devops - AWS Cloud for Beginners,34
4220,HashiCorp Certified: Vault Associate Certification,54
4234,DevOps Interview Preparation Course,52
4234,Learn Automation Basics - Beginners Course,50
4243,Amazon Elastic Container Service (AWS ECS),34
4243,Learn Devops - AWS Cloud for Beginners,268
4264,DevOps Pre-Requisite Course,48
4316,AZ-104: Microsoft Azure Administrator,4
4316,Amazon Elastic Container Service (AWS ECS),16
4316,Automation Advanced Course,60
4316,Certification Course - Certified Administrator,48
4316,Certified Application Developer,8
4316,Certified Kubernetes Security Specialist (CKS),56
4316,DevSecOps - Kubernetes DevOps & Security,30
4316,Docker Certified Associate Exam Course,200
4316,Docker Training Course for the Absolute Beginner,122
4316,JSON Path Test - Free Course,34
4316,Jenkins,52
4316,OpenShift for the Absolute Beginners,38
4316,Red Hat Certified System Administrator(RHCSA),50
4349,Chef for the Absolute Beginners,20
4349,DevOps Pre-Requisite Course,24
4349,Learn Automation Basics - Beginners Course,12
4349,Linux Foundation Certified System Administrator (LFCS),18
4355,Certified Kubernetes Security Specialist (CKS),52
4357,Automation Advanced Course,12
4357,DevOps Pre-Requisite Course,14
4357,Jinja2 Basics (Mini Course),4
4357,Learn Automation Basics - Beginners Course,126
4360,Kustomize,4
4363,Red Hat Certified System Administrator(RHCSA),78
4367,Certification Course - Certified Administrator,22
4367,Certified Application Developer,40
4367,Docker Certified Associate Exam Course,24
4382,Docker Training Course for the Absolute Beginner,82
4382,Jenkins,2
4454,HashiCorp : Terraform Cloud,8
4454,HashiCorp Certified: Consul Associate Certification,374
4454,Open Source for Beginners,2
4454,Red Hat Certified System Administrator(RHCSA),28
4471,Automation Certification Preparation Course,40
4493,Kustomize,164
4493,Terraform Associate Certification: HashiCorp Certified,90
4495,Amazon Elastic Container Service (AWS ECS),6
4495,DevSecOps - Kubernetes DevOps & Security,4
4495,GIT for Beginners,12
4495,Kubernetes for the Absolute Beginners - Hands-on Tutorial,34
4513,DevOps Pre-Requisite Course,4
4573,Certification Course - Certified Administrator,18
4573,Certified Application Developer,170
4589,Certified Application Developer,78
4642,Certified Kubernetes Security Specialist (CKS),422
4660,Terraform Associate Certification: HashiCorp Certified,24
4663,Certification Course - Certified Administrator,162
4663,DevOps Interview Preparation Course,28
4663,Helm for Beginners,24
4675,Certified Application Developer,150
4678,Certified Application Developer,116
4693,Certified Kubernetes Security Specialist (CKS),22
4706,Certified Application Developer,96
4706,Certified Kubernetes Security Specialist (CKS),8
4706,Helm for Beginners,114
